timestamp	rx	csi_raw
1774717803	RX2	I (547) csi_recv: ================ CSI RECV ================
1774717803	RX1	CSI_DATA,566,1a:00:00:00:00:00,-92,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,59191,0,47,0,384,1,"[47,-16,2,0,0,0,0,0,0,0,5,0,21,1,20,-1,19,-2,19,0,18,2,16,2,12,0,10,0,10,1,9,-2,8,-3,8,3,8,6,6,4,4,3,6,3,7,2,3,0,1,0,2,2,2,3,0,0,1,-3,-1,-4,-3,-2,-2,1,-1,-1,-3,-5,-5,-6,-5,-6,-4,-4,-4,-5,-5,-6,-5,-6,-6,-7,-7,-8,-8,-6,-9,-6,-7,-6,-4,-4,-4,-6,-7,-8,-11,-6,-9,-5,-6,-6,-9,-6,-14,-8,-13,-9,-11,-6,-10,-5,-11,-7,-12,-11,-13,-14,-4,-4,0,0,0,0,0,0,0,0,-1,-1,3,3,27,28,25,26,33,30,34,40,32,24,27,18,25,16,24,16,22,15,19,10,19,5,21,4,21,4,19,2,17,5,14,10,15,11,14,10,9,5,9,3,12,6,11,5,8,0,5,-1,2,1,-1,2,0,1,-1,-3,-4,-4,-1,-3,3,-9,-6,-4,-11,-2,-13,-5,-9,-5,-11,-4,-16,-4,-16,-5,-15,-7,-16,-12,-17,-13,-19,-13,-18,-13,-11,-11,-7,-10,-13,-12,-16,-13,-16,-12,-19,-11,-21,-10,-22,-11,-23,-13,-19,-10,-15,-8,-15,-11,-18,-20,-20,-25,-6,-7,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-3,-4,-3,-11,-3,-12,-1,-12,1,-11,1,-11,-2,-13,-4,-12,-2,-11,-2,-10,0,-12,-1,-12,0,-12,1,-13,0,-14,-2,-14,1,-14,2,-14,4,-14,3,-15,4,-17,7,-18,12,-17,16,-16,17,-17,16,-17,13,-16,9,-30,-7,-14,9,-14,14,-16,18,-16,20,-16,21,-18,23,-17,25,-14,24,-13,21,-12,20,-14,21,-11,22,-10,23,-12,25,-14,28,-14,29,-14,32,-14,34,-15,35,-10,34,-9,33,-9,33,-11,33,-13,36,-17,37,-19,35,-43,26,-38,26,-36,28,-33,32,-6,5]"
1774717803	RX4	CSI_DATA,563,1a:00:00:00:00:00,-75,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,5563972,0,47,0,384,1,"[47,-16,2,0,0,0,0,0,0,0,0,-5,1,-19,0,-19,0,-20,0,-20,2,-20,3,-20,3,-19,2,-20,2,-20,1,-20,2,-20,3,-22,5,-22,6,-22,5,-22,6,-21,4,-21,4,-22,4,-22,4,-21,4,-22,4,-21,6,-20,6,-20,5,-21,4,-21,2,-10,5,-17,6,-17,5,-18,5,-18,4,-16,3,-17,2,-17,2,-17,3,-17,2,-17,1,-18,1,-17,1,-18,1,-19,1,-20,2,-20,1,-19,1,-19,2,-19,3,-19,3,-19,4,-20,4,-20,5,-20,5,-20,4,-20,1,-5,0,0,0,0,0,0,0,0,-1,-1,-1,-4,-1,-28,-1,-36,3,-40,4,-41,3,-38,3,-37,3,-37,4,-36,3,-35,2,-36,4,-36,4,-36,3,-36,2,-37,3,-41,4,-43,6,-43,6,-41,6,-41,8,-41,8,-41,7,-41,6,-41,7,-40,8,-38,8,-38,8,-39,8,-37,10,-36,10,-37,9,-37,8,-35,8,-36,5,-36,4,-35,6,-34,6,-34,4,-35,4,-34,2,-33,1,-33,1,-33,2,-34,1,-37,0,-37,1,-35,0,-34,-2,-34,-1,-36,1,-35,3,-34,4,-35,5,-36,6,-37,5,-38,4,-39,5,-39,1,-10,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,3,-17,12,-16,7,-15,5,-13,2,-10,-1,-7,-3,-5,-3,-2,-3,1,-2,6,-2,8,-1,8,-1,8,-1,10,1,12,4,14,4,16,4,16,8,15,11,13,12,12,12,14,12,16,13,17,17,18,18,17,17,16,18,12,18,12,19,13,20,15,19,14,17,11,18,10,17,11,17,11,19,12,19,13,17,12,15,12,14,14,14,14,13,12,12,12,10,13,9,14,7,16,6,17,6,17,5,17,2,18,0,19,2,21,5,26,8,29,5,28,2,26,1,3,0]"
1774717803	RX3	CSI_DATA,564,1a:00:00:00:00:00,-76,11,1,0,1,1,1,0,0,0,0,-97,0,11,2,404540,0,47,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,3,6,4,6,3,6,3,6,3,6,3,6,3,6,2,6,2,6,2,7,2,7,1,7,1,7,1,7,1,7,0,7,0,7,0,7,0,7,0,7,-1,7,-1,7,-2,8,-2,8,-1,0,0,8,-2,8,-2,8,-2,8,-2,8,-1,8,-1,8,-1,8,-1,8,-1,7,-1,7,-1,8,0,8,0,8,0,8,1,8,1,7,1,7,1,7,1,6,1,6,1,6,2,6,2,5,2,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36,7,-37,9,-37,10,-39,10,-40,10,-38,10,-37,11,-38,13,-37,13,-34,13,-34,15,-37,17,-39,18,-39,19,-35,20,-31,22,-30,25,-30,24,-31,23,-34,27,-34,27,-29,26,-27,28,-29,29,-28,28,-29,29,-32,34,-30,37,-26,35,-24,36,-24,36,-26,34,-29,34,-26,37,-22,38,-23,34,-28,35,-32,39,-30,40,-27,41,-30,43,-36,41,-35,37,-33,31,-34,29,-34,29,-34,28,-35,26,-34,23,-34,21,-34,20,-34,19,-37,18,-38,15,-36,13,-35,10,-35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,62,47,60,47,64,47,66,47,65,44,62,45,62,47,64,46,68,48,71,50,69,51,67,49,68,44,63,38,61,38,63,39,62,37,57,33,54,34,55,37,56,36,55,34,54,33,52,33,48,32,40,29,35,27,37,27,37,23,32,21,27,21,24,23,21,24,21,22,20,21,16,23,11,23,6,23,3,22,2,22,-1,22,-4,20,-4,19,-5,13,-8,6,-11,6,-12,8,-16,7,-19,6,-21,6,-22,6,-21,4,-22,0,-27,0,-31,1,-32,2,-33,0,0]"
1774717803	RX2	CSI_DATA,567,1a:00:00:00:00:00,-77,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,66131,0,47,0,384,1,"[47,-16,2,0,0,0,0,0,0,0,-3,-4,-12,-15,-11,-15,-11,-15,-10,-15,-10,-13,-11,-12,-10,-10,-10,-10,-9,-10,-9,-10,-9,-9,-9,-9,-8,-9,-7,-8,-7,-8,-8,-6,-8,-5,-7,-5,-6,-5,-5,-5,-4,-4,-4,-4,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0,-1,0,-1,1,-1,1,-1,1,0,2,0,2,0,3,0,5,0,6,1,7,2,6,1,6,1,8,2,9,2,10,3,10,3,11,4,11,5,11,5,11,5,11,5,11,6,11,7,11,7,11,7,2,1,0,0,0,0,0,0,0,0,-1,-1,2,-5,16,-34,13,-34,11,-34,10,-34,-7,-30,-7,-28,-6,-28,-6,-26,-7,-25,-7,-23,-7,-23,-7,-22,-7,-21,-7,-19,-7,-18,-7,-18,-6,-17,-6,-16,-7,-14,-7,-14,-7,-13,-6,-12,-6,-10,-5,-9,-4,-9,-4,-8,-4,-6,-4,-6,-3,-5,-3,-4,-1,-5,0,-3,0,-1,1,0,1,0,2,1,4,2,5,3,5,4,5,4,6,5,8,5,8,6,9,7,10,9,11,11,11,12,11,12,11,12,10,12,10,13,11,14,11,14,12,15,12,16,12,17,11,16,2,3,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,9,-3,37,-4,36,-4,37,-4,36,-4,35,-4,34,-4,34,-4,35,-4,36,-4,36,-3,36,-2,36,-1,37,0,36,1,35,1,34,1,33,1,32,3,31,3,30,3,28,5,28,7,27,9,28,11,28,12,27,2,34,15,24,16,24,18,23,19,21,19,20,20,19,21,19,21,18,22,17,24,15,25,14,26,13,28,12,29,11,30,10,30,9,31,7,31,5,31,5,33,4,34,4,34,3,33,2,34,0,35,0,35,0,39,18,38,16,38,17,38,18,4,2]"
1774717803	RX1	CSI_DATA,567,1a:00:00:00:00:00,-92,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,109163,0,47,0,384,1,"[47,-16,2,0,0,0,0,0,0,0,4,2,17,10,14,9,12,11,12,13,11,12,9,9,11,8,13,8,12,7,13,7,13,5,11,4,8,3,6,4,6,5,5,5,4,3,4,4,4,7,2,6,2,3,1,0,-4,-1,-6,0,-4,3,-4,4,-3,0,-7,-4,-6,-3,-6,-2,-5,-1,-4,-4,-4,-5,-5,-4,-7,-5,-7,-7,-5,-7,-4,-6,-5,-3,-6,-3,-6,-5,-7,-6,-9,-6,-8,-3,-5,-2,-5,-2,-6,-4,-7,-7,-8,-8,-8,-8,-5,-8,-4,-8,-7,-7,-3,-2,0,0,0,0,0,0,0,0,-1,-1,-1,5,-1,44,-2,48,-2,48,2,43,15,28,8,28,5,27,8,26,8,27,6,26,9,22,12,20,11,21,11,18,13,15,11,16,9,15,7,11,4,9,1,12,1,14,1,12,0,12,0,11,1,5,1,1,0,1,-1,1,-2,1,-1,-1,-1,-4,-7,-1,-7,-6,-8,-8,-10,-4,-11,-3,-9,-6,-7,-11,-7,-11,-8,-11,-4,-13,-3,-12,-7,-9,-9,-12,-8,-15,-7,-14,-8,-13,-9,-14,-9,-13,-8,-9,-7,-10,-9,-15,-12,-14,-13,-15,-8,-19,-2,-17,-2,-11,-1,-3,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-3,-3,-9,-11,-5,-10,-5,-8,-8,-7,-5,-4,-4,-1,-7,-2,-8,-6,-8,-6,-10,-4,-11,-2,-12,-4,-13,-8,-13,-7,-13,-6,-13,-9,-16,-9,-16,-8,-15,-8,-16,-7,-17,-8,-21,-10,-23,-8,-21,-4,-19,-1,-21,-1,-26,-20,-19,0,-19,-2,-22,-4,-23,-2,-23,4,-22,7,-25,6,-30,5,-28,6,-25,8,-27,10,-30,9,-29,9,-29,12,-30,15,-34,17,-36,18,-36,17,-33,14,-30,13,-30,16,-32,20,-32,18,-30,18,-31,21,-35,21,-55,-7,-59,-11,-58,-6,-55,8,-7,1]"
1774717803	RX4	CSI_DATA,564,1a:00:00:00:00:00,-75,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,5613989,0,47,0,384,1,"[47,-16,2,0,0,0,0,0,0,0,-5,-1,-18,-3,-20,-3,-20,-3,-20,-4,-19,-5,-19,-4,-19,-5,-19,-5,-18,-4,-19,-5,-20,-6,-20,-7,-21,-5,-22,-4,-21,-5,-20,-5,-20,-4,-19,-4,-18,-4,-18,-4,-18,-4,-16,-4,-15,-4,-16,-3,-19,-4,-21,-5,-10,-2,-19,-5,-19,-5,-19,-4,-17,-2,-17,-3,-18,-3,-19,-1,-19,-1,-18,-2,-18,-2,-18,-1,-19,0,-19,1,-19,1,-20,0,-21,-1,-20,-1,-20,-1,-20,-1,-20,-2,-20,-3,-20,-3,-21,-3,-22,-4,-22,-4,-21,-2,-6,-1,0,0,0,0,0,0,0,0,-1,-1,2,-3,20,-18,27,-21,26,-23,22,-29,-4,-17,-4,-17,-1,-17,-1,-15,-2,-14,-3,-13,-2,-13,0,-14,1,-15,-1,-16,-3,-18,-2,-19,0,-18,-3,-14,-4,-14,-4,-16,-4,-16,-3,-17,-3,-17,-2,-16,-1,-16,-1,-17,-1,-18,-1,-17,-2,-15,-5,-15,18,-31,-6,-15,-6,-16,-5,-14,-6,-12,-7,-11,-7,-12,-7,-13,-7,-13,-7,-14,-7,-16,-8,-17,-9,-16,-9,-14,-9,-15,-8,-16,-8,-17,-9,-18,-8,-18,-7,-19,-8,-19,-7,-19,-6,-18,-5,-17,-7,-17,-8,-17,-7,-16,-2,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-3,-3,-2,-3,-3,-1,-4,0,-4,1,-3,2,-3,4,-3,6,-3,8,-3,7,-3,7,-2,8,-3,7,-3,7,-1,7,0,7,3,7,4,6,3,4,3,5,4,6,5,5,5,5,3,5,3,7,3,3,17,6,4,6,4,6,3,6,5,4,5,3,5,4,6,4,5,4,4,6,3,7,1,5,0,3,0,4,2,5,3,6,2,7,0,8,0,8,-1,7,-2,8,-3,8,-2,8,-1,8,-1,7,-2,7,-2,18,16,18,17,21,18,25,21,3,2]"
1774717803	RX3	CSI_DATA,565,1a:00:00:00:00:00,-76,11,1,0,1,1,1,0,0,0,0,-97,0,11,2,455731,0,47,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-7,-7,-8,-7,-8,-7,-8,-7,-8,-6,-8,-6,-8,-6,-8,-6,-8,-6,-8,-6,-9,-6,-9,-6,-9,-5,-9,-5,-9,-5,-9,-5,-9,-4,-9,-4,-9,-3,-9,-3,-9,-3,-9,-3,-9,-3,-10,-2,-10,-2,-10,-2,0,0,-10,-2,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-10,-2,-10,-3,-10,-3,-10,-3,-9,-4,-9,-4,-9,-4,-8,-4,-8,-4,-7,-4,-7,-4,-6,-4,-6,-5,-6,-5,-5,-5,-5,-5,-4,-5,-4,-5,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-52,-11,-52,-11,-50,-12,-49,-15,-50,-18,-51,-18,-51,-15,-51,-14,-50,-14,-49,-16,-47,-17,-48,-17,-49,-19,-48,-23,-45,-27,-46,-28,-47,-29,-45,-28,-44,-28,-45,-29,-44,-28,-39,-29,-36,-31,-39,-30,-41,-31,-38,-35,-36,-40,-37,-42,-39,-41,-39,-37,-36,-35,-34,-37,-34,-38,-36,-36,-36,-34,-36,-35,-35,-37,-36,-37,-37,-34,-39,-34,-41,-35,-40,-35,-38,-32,-39,-26,-40,-24,-39,-23,-37,-21,-35,-18,-35,-15,-37,-13,-37,-10,-34,-7,-33,-4,-32,-2,-30,-1,-27,-3,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,55,-53,51,-55,48,-58,48,-57,47,-55,45,-56,46,-58,47,-59,44,-57,43,-54,46,-56,49,-58,49,-59,46,-56,43,-54,42,-54,43,-52,40,-50,36,-48,34,-47,33,-48,31,-46,32,-44,29,-41,27,-37,28,-35,28,-32,24,-29,22,-26,23,-21,24,-16,23,-14,21,-14,18,-11,18,-9,19,-7,18,-2,17,5,17,9,17,10,13,12,12,14,12,16,10,16,10,13,11,17,10,28,8,34,10,33,9,30,4,32,1,35,0,36,-3,36,-4,37,-3,41,-5,0,0]"
1774717803	RX1	CSI_DATA,569,1a:00:00:00:00:00,-91,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,209187,0,47,0,384,1,"[47,-16,2,0,0,0,0,0,0,0,-4,3,-15,15,-15,15,-15,14,-14,12,-14,9,-12,9,-11,10,-12,8,-12,7,-11,9,-10,9,-8,9,-8,8,-8,7,-6,6,-6,3,-7,3,-5,5,-4,5,-4,5,-4,3,-4,-1,-3,-2,-5,1,-5,2,-5,0,-2,-2,0,-4,2,-1,2,-1,-1,-3,0,-3,3,-4,3,-3,1,-1,1,0,3,0,3,0,2,0,3,-1,5,-2,5,-2,3,-2,5,-2,8,-3,8,-4,6,-2,4,-1,6,-1,6,-4,4,-5,6,-5,11,-4,3,-1,0,0,0,0,0,0,0,0,-1,-1,-7,2,-44,22,-35,27,-31,23,-34,19,-34,23,-33,23,-34,24,-31,22,-26,19,-25,16,-25,13,-24,8,-22,8,-20,12,-16,14,-15,10,-18,8,-18,8,-14,9,-12,9,-12,7,-11,8,-10,9,-7,8,-7,6,-9,3,-10,3,-12,6,-8,3,-3,-2,-3,-4,-1,-6,2,-5,4,-1,2,-2,4,-4,7,-4,8,-4,5,-4,1,-3,2,-1,6,-3,9,-5,12,-3,13,1,13,-1,11,-5,9,-3,9,-3,10,-7,10,-9,12,-4,12,-1,13,-5,17,-9,20,-8,25,-5,7,-2,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-2,-4,-6,-15,-4,-14,2,-13,2,-15,2,-20,3,-22,0,-17,-2,-16,-1,-20,-3,-20,-7,-20,-5,-23,-1,-23,-3,-20,-3,-21,-2,-24,-3,-22,-5,-21,-8,-21,-9,-21,-8,-26,-6,-28,-9,-26,-15,-27,-17,-29,-14,-29,-2,-31,-11,-26,-13,-28,-15,-25,-19,-23,-16,-23,-12,-20,-14,-19,-16,-22,-20,-26,-26,-28,-28,-25,-29,-23,-31,-23,-29,-22,-27,-24,-28,-28,-28,-29,-29,-31,-33,-31,-36,-32,-36,-30,-34,-28,-34,-27,-37,-29,-37,-34,-36,-34,-32,-36,-36,-39,-34,-46,-36,-43,-5,-5]"
1774717803	RX3	CSI_DATA,566,1a:00:00:00:00:00,-74,11,1,0,1,1,1,0,0,0,0,-97,0,11,2,504545,0,47,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-1,9,-1,10,-1,10,-1,10,-1,10,-1,10,-1,10,0,10,0,9,0,9,0,10,0,10,0,10,0,9,0,9,1,9,1,9,2,8,2,8,2,8,2,9,2,9,3,8,3,8,3,9,3,8,0,0,3,9,3,9,3,9,3,9,2,9,2,9,2,9,2,9,2,8,2,9,1,9,1,9,0,8,0,8,0,7,0,7,-1,7,-1,7,-1,6,-2,6,-2,5,-2,5,-2,5,-3,4,-3,3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49,-4,-52,-5,-58,-4,-58,-4,-56,-7,-52,-10,-54,-9,-62,-1,-63,2,-60,4,-57,5,-53,4,-53,2,-55,1,-57,2,-59,4,-58,3,-57,2,-52,3,-49,8,-54,12,-55,13,-52,14,-51,14,-49,15,-47,18,-49,17,-52,16,-55,15,-56,14,-53,18,-47,22,-47,21,-48,21,-50,20,-51,18,-49,20,-46,21,-45,19,-45,17,-47,12,-50,7,-49,6,-47,7,-44,5,-44,3,-43,3,-42,-2,-41,-5,-39,-1,-36,1,-33,-2,-30,-5,-28,-9,-27,-13,-26,-12,-22,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,50,53,51,53,52,55,49,53,49,52,52,52,54,50,49,50,41,52,38,54,40,58,39,65,37,66,39,61,41,59,42,57,39,52,37,56,41,58,41,51,32,47,26,43,23,40,21,39,23,39,23,38,22,33,23,28,24,27,23,26,22,23,20,20,21,13,23,9,21,9,18,7,19,3,20,0,18,-5,16,-10,18,-13,19,-14,18,-20,11,-26,4,-27,6,-27,11,-27,12,-29,11,-32,13,-35,12,-38,7,-40,4,-41,5,-46,4,-53,4,-55,0,0]"
